部位,ICD-10,性別,診断年,粗率,0-4歳,5-9歳,10-14歳,15-19歳,20-24歳,25-29歳,30-34歳,35-39歳,40-44歳,45-49歳,50-54歳,55-59歳,60-64歳,65-69歳,70-74歳,75-79歳,80-84歳,85歳以上
全部位,C00-C96,男女計,1975,184.7 ,13.2 ,8.0 ,7.9 ,8.9 ,13.2 ,24.5 ,41.9 ,71.9 ,128.2 ,211.0 ,300.3 ,430.9 ,639.0 ,884.2 ,1173.1 ,1377.4 ,1360.6 ,1087.5 
全部位,C00-C96,男女計,1976,185.1 ,13.1 ,7.3 ,7.6 ,8.9 ,11.3 ,25.7 ,38.4 ,70.0 ,125.0 ,205.7 ,296.9 ,417.5 ,618.9 ,876.8 ,1147.7 ,1389.1 ,1407.4 ,1122.0 
全部位,C00-C96,男女計,1977,189.4 ,13.9 ,7.4 ,7.3 ,10.6 ,10.4 ,26.8 ,38.1 ,72.7 ,125.9 ,206.7 ,297.4 ,405.2 ,625.2 ,895.7 ,1114.3 ,1376.9 ,1431.1 ,1138.0 
全部位,C00-C96,男女計,1978,194.5 ,13.1 ,7.1 ,6.1 ,10.1 ,10.4 ,23.6 ,38.6 ,75.2 ,126.1 ,205.0 ,308.6 ,406.6 ,621.4 ,903.8 ,1125.7 ,1400.8 ,1400.0 ,1208.9 
全部位,C00-C96,男女計,1979,206.5 ,13.4 ,6.7 ,5.6 ,9.7 ,11.1 ,22.9 ,41.6 ,84.3 ,127.7 ,211.9 ,326.0 ,439.0 ,656.5 ,911.0 ,1170.2 ,1436.0 ,1442.2 ,1258.6 
全部位,C00-C96,男女計,1980,214.5 ,14.0 ,7.1 ,6.6 ,8.6 ,12.1 ,20.8 ,43.9 ,81.2 ,127.6 ,213.8 ,327.9 ,456.3 ,656.3 ,911.2 ,1235.2 ,1448.6 ,1500.3 ,1314.6 
全部位,C00-C96,男女計,1981,223.1 ,13.6 ,7.9 ,7.1 ,8.7 ,12.1 ,20.9 ,46.7 ,80.2 ,130.7 ,217.5 ,326.7 ,473.9 ,658.9 ,927.6 ,1255.0 ,1457.7 ,1572.7 ,1342.2 
全部位,C00-C96,男女計,1982,230.1 ,13.1 ,8.7 ,7.2 ,8.3 ,12.7 ,21.6 ,48.4 ,74.3 ,133.1 ,213.2 ,335.4 ,482.0 ,644.0 ,935.9 ,1253.6 ,1457.3 ,1648.0 ,1452.4 
全部位,C00-C96,男女計,1983,243.1 ,11.8 ,9.0 ,7.4 ,8.4 ,13.4 ,21.9 ,49.4 ,73.8 ,138.9 ,216.8 ,353.6 ,504.7 ,671.3 ,949.5 ,1275.8 ,1505.3 ,1734.5 ,1544.3 
全部位,C00-C96,男女計,1984,254.1 ,12.5 ,8.3 ,7.9 ,9.6 ,13.4 ,23.9 ,48.8 ,76.9 ,143.6 ,213.7 ,355.7 ,521.0 ,691.4 ,951.6 ,1280.9 ,1574.9 ,1796.2 ,1674.1 
全部位,C00-C96,男女計,1985,273.8 ,15.9 ,7.7 ,8.3 ,10.4 ,13.1 ,23.5 ,49.9 ,90.1 ,145.1 ,220.9 ,360.8 ,546.2 ,736.5 ,982.2 ,1372.3 ,1667.7 ,1872.0 ,1802.1 
全部位,C00-C96,男女計,1986,280.2 ,16.2 ,7.4 ,8.6 ,9.9 ,12.5 ,23.7 ,48.6 ,92.8 ,140.8 ,217.2 ,354.5 ,546.8 ,757.9 ,978.4 ,1363.9 ,1675.7 ,1831.4 ,1838.4 
全部位,C00-C96,男女計,1987,290.4 ,16.0 ,7.4 ,8.0 ,8.8 ,12.5 ,22.6 ,46.1 ,92.2 ,140.3 ,219.5 ,354.5 ,558.5 ,777.7 ,976.6 ,1384.4 ,1678.7 ,1848.2 ,1919.1 
全部位,C00-C96,男女計,1988,298.7 ,16.2 ,7.3 ,7.1 ,8.9 ,12.6 ,22.7 ,46.5 ,90.7 ,141.5 ,224.1 ,352.4 ,554.9 ,797.6 ,979.7 ,1361.8 ,1674.9 ,1885.7 ,1963.5 
全部位,C00-C96,男女計,1989,305.7 ,15.2 ,7.0 ,6.8 ,9.6 ,13.1 ,21.4 ,44.7 ,87.9 ,146.3 ,228.0 ,341.2 ,542.6 ,792.1 ,1008.6 ,1343.4 ,1664.0 ,1905.1 ,2042.1 
全部位,C00-C96,男女計,1990,325.2 ,15.6 ,8.3 ,8.1 ,9.8 ,13.7 ,26.1 ,49.4 ,96.5 ,163.4 ,239.5 ,353.4 ,563.1 ,831.3 ,1083.4 ,1361.6 ,1682.2 ,1934.7 ,1971.4 
全部位,C00-C96,男女計,1991,337.7 ,15.5 ,8.5 ,7.8 ,10.4 ,14.3 ,25.2 ,48.2 ,92.9 ,172.6 ,232.5 ,352.8 ,564.7 ,849.8 ,1116.0 ,1370.5 ,1706.1 ,1962.7 ,1957.4 
全部位,C00-C96,男女計,1992,353.7 ,14.9 ,8.8 ,7.4 ,10.8 ,15.0 ,25.9 ,48.1 ,92.6 ,179.5 ,232.6 ,366.7 ,572.9 ,868.5 ,1150.0 ,1385.0 ,1756.4 ,2000.3 ,1993.9 
全部位,C00-C96,男女計,1993,358.1 ,13.9 ,8.3 ,7.9 ,11.0 ,13.8 ,25.7 ,46.9 ,87.7 ,169.0 ,228.9 ,360.7 ,564.6 ,850.8 ,1155.7 ,1369.2 ,1748.0 ,1996.3 ,1995.3 
全部位,C00-C96,男女計,1994,362.6 ,14.0 ,7.2 ,8.2 ,10.3 ,13.9 ,25.7 ,47.4 ,86.0 ,162.1 ,233.9 ,360.0 ,546.4 ,821.3 ,1150.6 ,1377.7 ,1725.3 ,1983.6 ,2008.9 
全部位,C00-C96,男女計,1995,377.3 ,16.6 ,8.2 ,8.6 ,9.5 ,15.0 ,23.7 ,45.8 ,83.8 ,146.2 ,249.1 ,348.5 ,519.4 ,808.2 ,1165.2 ,1470.5 ,1726.8 ,2076.0 ,2302.3 
